1password 8.10.70-26
7zip 24.09-3
alsa-firmware 1.2.4-4
alsa-utils 1.2.13-2
ansible 11.4.0-2
arandr 0.1.11-4
arj 3.10.22-14
atuin 18.5.0-1
autotiling 1.9.3-3
azote 1.15.0-1
b43-fwcutter 019-6
base 3-2
base-devel 1-2
bash-completion 2.16.0-1
battop 0.2.4-2
bemenu-wayland 0.6.23-1
bind 9.20.7-1
blueberry 1.4.8-2
bluetooth-support 1-7
bluetui 0.6-1
bottom 0.10.2-1
bridge-utils 1.7.1-2
btrfs-assistant 2.1.1-1.5
btrfs-progs 6.14-1
bzip2 1.0.8-6
calcurse 4.8.1-2
catfish 4.20.0-2
celluloid 0.27-1
chafa 1.14.5-1
chezmoi 2.62.0-1
cliphist 1:0.6.1-1
coreutils 9.6-4
cryptsetup 2.7.5-2
curlftpfs 0.9.2-10
dex 0.9.0-2
dialog 1:1.3_20250116-1
direnv 2.35.0-1
dmidecode 3.6-1
dmraid 1.0.0.rc16.3-15
doctl 1.124.0-1
dosfstools 4.2-5
downgrade 11.5.1-1
dracut 106-1
dua-cli 2.30.0-1
e2fsprogs 1.47.2-2
ecryptfs-utils 111-9
efibootmgr 18-3
eog 47.0-1
ethtool 1:6.11-1
exfatprogs 1.2.8-1
f2fs-tools 1.16.0-3
fastfetch 2.40.4-1
fatresize 1.1.0-2
feh 3.10.3-1
ffmpegthumbnailer 2.2.3-3
file 5.46-4
file-roller 44.5-1
filesystem 2024.11.21-1
findutils 4.10.0-2
flatpak 1:1.16.0-2
foot 1.21.0-1
freetype2 2.13.3-3
fscrypt 0.3.5-1
fuzzel 1.11.1-2
fwupd 2.0.8-1
fx 35.0.0-1
galculator 2.1.4-10
gawk 5.3.2-1
gcc-libs 14.2.1+r753+g1cd744a6828f-1
gettext 0.24-1
ghostty 1.1.3-1
gimp 3.0.2-2
github-cli 2.69.0-1
glibc 2.41+r9+ga900dbaf70f0-1
gnome-firmware 47.0-1
gnome-keyring 1:48.0-1
gnu-netcat 0.7.1-10
gparted 1.7.0-1
greetd 0.10.3-1
grep 3.11-1
grim 1.4.1-3
grub 2:2.12.r260.gaae2ea61-1
grub-btrfs 4.13-2
grub-garuda 2.06-2
grub-theme-garuda r26.972b17c-2
gstreamer-meta 1-4
gtklock 4.0.0-1
gtklock-powerbar-module 4.0.0-1
gtklock-userinfo-module 4.0.1-1
gvfs 1.57.2-2
gvfs-afc 1.57.2-2
gvfs-gphoto2 1.57.2-2
gvfs-mtp 1.57.2-2
gvfs-nfs 1.57.2-2
gvfs-smb 1.57.2-2
gzip 1.13-4
helix 25.01.1-1
htop 3.4.0-1
inetutils 2.5-1
input-devices-support 1.0.2-2
intel-ucode 20250211-1
inxi 3.3.37.1-1
iproute2 6.14.0-1
iptables-nft 1:1.8.11-2
iputils 20240905-1
jfsutils 1.1.15-9
jq 1.7.1-2
kanshi 1.7.0-1
kitty 0.41.1-1
kvantum 1.1.4-1
kvantum-qt5 1.1.4-1
lhasa 0.4.0-1
lib32-pipewire-jack 1:1.4.1-1
